participant,role,ai_experience,aiact_familiarity,seniority,locale,arm,condition,set,pair,item,completed,verdict,client_seconds,server_seconds
P1,ai_researcher,builder,expert,lt2,en,alpha_first,baseline,A,1,Q1A,yes,correct,55.0,55.3
P1,ai_researcher,builder,expert,lt2,en,alpha_first,baseline,A,2,Q2A,no,wrong,54.0,54.9
P1,ai_researcher,builder,expert,lt2,en,alpha_first,baseline,A,3,Q3A,no,wrong,14.0,14.7
P1,ai_researcher,builder,expert,lt2,en,alpha_first,baseline,A,4,Q4A,yes,correct,32.0,32.0
P1,ai_researcher,builder,expert,lt2,en,alpha_first,baseline,A,5,Q5A,no,wrong,66.0,66.4
P1,ai_researcher,builder,expert,lt2,en,alpha_first,baseline,A,6,Q6A,no,wrong,60.0,60.3
P1,ai_researcher,builder,expert,lt2,en,alpha_first,vera,B,1,Q1B,yes,correct,28.0,28.6
P1,ai_researcher,builder,expert,lt2,en,alpha_first,vera,B,2,Q2B,no,wrong,37.0,37.4
P1,ai_researcher,builder,expert,lt2,en,alpha_first,vera,B,3,Q3B,yes,correct,18.0,18.5
P1,ai_researcher,builder,expert,lt2,en,alpha_first,vera,B,4,Q4B,no,wrong,14.0,14.4
P1,ai_researcher,builder,expert,lt2,en,alpha_first,vera,B,5,Q5B,yes,correct,12.0,12.5
P1,ai_researcher,builder,expert,lt2,en,alpha_first,vera,B,6,Q6B,yes,unverified,15.0,15.1
P2,ai_researcher,builder,heard,2to5,en,beta_first,baseline,B,1,Q1B,yes,correct,74.0,134.9
P3,ai_researcher,builder,heard,lt2,en,alpha_first,baseline,A,1,Q1A,no,wrong,99.0,137.0
P3,ai_researcher,builder,heard,lt2,en,alpha_first,baseline,A,2,Q2A,no,wrong,42.0,43.1
P3,ai_researcher,builder,heard,lt2,en,alpha_first,baseline,A,3,Q3A,no,wrong,72.0,72.7
P3,ai_researcher,builder,heard,lt2,en,alpha_first,baseline,A,4,Q4A,no,wrong,26.0,27.4
P3,ai_researcher,builder,heard,lt2,en,alpha_first,baseline,A,5,Q5A,no,gave_up,72.0,73.6
P3,ai_researcher,builder,heard,lt2,en,alpha_first,baseline,A,6,Q6A,no,wrong,40.0,41.0
P3,ai_researcher,builder,heard,lt2,en,alpha_first,vera,B,1,Q1B,no,wrong,52.0,52.9
P3,ai_researcher,builder,heard,lt2,en,alpha_first,vera,B,2,Q2B,yes,correct,174.0,174.8
P3,ai_researcher,builder,heard,lt2,en,alpha_first,vera,B,3,Q3B,no,wrong,103.0,103.1
P3,ai_researcher,builder,heard,lt2,en,alpha_first,vera,B,4,Q4B,no,wrong,17.0,18.0
P3,ai_researcher,builder,heard,lt2,en,alpha_first,vera,B,5,Q5B,yes,correct,22.0,22.3
P3,ai_researcher,builder,heard,lt2,en,alpha_first,vera,B,6,Q6B,no,gave_up,63.0,63.8
P15,ai_researcher,builder,heard,lt2,en,alpha_first,baseline,A,1,Q1A,yes,correct,146.0,146.4
P15,ai_researcher,builder,heard,lt2,en,alpha_first,baseline,A,2,Q2A,yes,correct,53.0,53.7
P15,ai_researcher,builder,heard,lt2,en,alpha_first,baseline,A,3,Q3A,yes,correct,52.0,52.8
P15,ai_researcher,builder,heard,lt2,en,alpha_first,baseline,A,4,Q4A,yes,correct,28.0,28.6
P15,ai_researcher,builder,heard,lt2,en,alpha_first,baseline,A,5,Q5A,no,wrong,190.0,190.6
P15,ai_researcher,builder,heard,lt2,en,alpha_first,baseline,A,6,Q6A,yes,unverified,67.0,67.1
P15,ai_researcher,builder,heard,lt2,en,alpha_first,vera,B,1,Q1B,yes,correct,110.0,110.5
P15,ai_researcher,builder,heard,lt2,en,alpha_first,vera,B,2,Q2B,yes,correct,37.0,37.5
P15,ai_researcher,builder,heard,lt2,en,alpha_first,vera,B,3,Q3B,yes,correct,12.0,11.9
P15,ai_researcher,builder,heard,lt2,en,alpha_first,vera,B,4,Q4B,no,wrong,61.0,61.0
P15,ai_researcher,builder,heard,lt2,en,alpha_first,vera,B,5,Q5B,yes,correct,15.0,15.8
P15,ai_researcher,builder,heard,lt2,en,alpha_first,vera,B,6,Q6B,yes,unverified,22.0,22.2
P16,ai_researcher,builder,working,lt2,en,beta_first,vera,A,1,Q1A,yes,correct,14.0,14.8
P16,ai_researcher,builder,working,lt2,en,beta_first,vera,A,2,Q2A,yes,correct,36.0,36.9
P16,ai_researcher,builder,working,lt2,en,beta_first,vera,A,3,Q3A,yes,correct,52.0,52.2
P16,ai_researcher,builder,working,lt2,en,beta_first,vera,A,4,Q4A,yes,correct,21.0,21.6
P16,ai_researcher,builder,working,lt2,en,beta_first,vera,A,5,Q5A,yes,correct,13.0,13.1
P16,ai_researcher,builder,working,lt2,en,beta_first,vera,A,6,Q6A,no,wrong,15.0,15.5
P16,ai_researcher,builder,working,lt2,en,beta_first,baseline,B,1,Q1B,no,wrong,140.0,141.0
P16,ai_researcher,builder,working,lt2,en,beta_first,baseline,B,2,Q2B,no,gave_up,52.0,52.6
