participant,role,ai_experience,aiact_familiarity,seniority,locale,tasks_submitted,item,value,comment
P1,ai_researcher,builder,expert,lt2,en,13,PU1,5,VERA is user friendly :thumbsup:
P1,ai_researcher,builder,expert,lt2,en,13,PU2,5,VERA is user friendly :thumbsup:
P1,ai_researcher,builder,expert,lt2,en,13,PU3,5,VERA is user friendly :thumbsup:
P1,ai_researcher,builder,expert,lt2,en,13,PU4,5,VERA is user friendly :thumbsup:
P1,ai_researcher,builder,expert,lt2,en,13,PEOU1,4,VERA is user friendly :thumbsup:
P1,ai_researcher,builder,expert,lt2,en,13,PEOU2,3,VERA is user friendly :thumbsup:
P1,ai_researcher,builder,expert,lt2,en,13,PEOU3,4,VERA is user friendly :thumbsup:
P1,ai_researcher,builder,expert,lt2,en,13,PEOU4,4,VERA is user friendly :thumbsup:
P2,ai_researcher,builder,heard,2to5,en,1,PU1,,
P2,ai_researcher,builder,heard,2to5,en,1,PU2,,
P2,ai_researcher,builder,heard,2to5,en,1,PU3,,
P2,ai_researcher,builder,heard,2to5,en,1,PU4,,
P2,ai_researcher,builder,heard,2to5,en,1,PEOU1,,
P2,ai_researcher,builder,heard,2to5,en,1,PEOU2,,
P2,ai_researcher,builder,heard,2to5,en,1,PEOU3,,
P2,ai_researcher,builder,heard,2to5,en,1,PEOU4,,
P3,ai_researcher,builder,heard,lt2,en,13,PU1,4,
P3,ai_researcher,builder,heard,lt2,en,13,PU2,4,
P3,ai_researcher,builder,heard,lt2,en,13,PU3,5,
P3,ai_researcher,builder,heard,lt2,en,13,PU4,5,
P3,ai_researcher,builder,heard,lt2,en,13,PEOU1,4,
P3,ai_researcher,builder,heard,lt2,en,13,PEOU2,3,
P3,ai_researcher,builder,heard,lt2,en,13,PEOU3,1,
P3,ai_researcher,builder,heard,lt2,en,13,PEOU4,3,
P4,ai_researcher,builder,heard,lt2,en,0,PU1,,
P4,ai_researcher,builder,heard,lt2,en,0,PU2,,
P4,ai_researcher,builder,heard,lt2,en,0,PU3,,
P4,ai_researcher,builder,heard,lt2,en,0,PU4,,
